Manx,English
YN CHIED AYRN.,PREFACE.,
___________________,,
"T’an currym mooar jeh gynsaghey Lught-thieyn, gyn dooyt erskyn ooilley ymmyrchagh dy chur Craueeaght er y hoshiaght as yn undin shaare son credjue as ymmyrkey Bea mie creestee; agh ga dy vel yn Currym choh [sic: shoh] cha feer ymmyrchagh as vondeishagh, ny yeih t’eh dy feer scammyltagh er ny lhiggey shaghey ayns laane ynnydyn, raad nagh vel sleih agh ynrican goaill kiarail dy chur nyn Gloan as sharvaantyn boght dy Obbragh son nyn Meaghey, fegooish veg y chiarail son ny Anmeenyn öasle [sic: ooasle] as beayn oc.","THE great duty of Family Instruction is, doubtless of the utmost importance to Religion, and the best foundation for a Christian belief and practice; but as necessary and beneficial as this duty is, it is most notoriously neglected in many places, especially country parishes,[1] where people mind only the putting poor children and servants to work for their bread, but take no care about their precious and immortal souls.",
"Cre wooad dy chloan t’ayn jeh jeih, gaayeig, as three bleaney jeig dy eaish, nagh vel agh toiggal fardalagh oc jeh’n Jee ren y chroo ad? —Cre whilleen persoon aeg t’ayn, Prindeasyn as sharvaantyn (marish Cloan) nagh vel agh toiggal feer veg ock jeh’n saualtagh chionnee ad reesht as jeeaghyn myr nagh rou ad er c’hlaishtyn [sic: chlashtyn] vel Spyrryd Noo ayn mannagh vel? Dy jarroo, cre whilleen peccagh t’er jeet gys aase, sleih ayns eaish myrgeddin, ta er varail ooilley ny Bleantyn oc fegooish toigal myr lhissagh ad ard-churmyn nyn Gredjue? Cha vod eh dy mie ve er ny chredjal dy beagh wheesh dy vee-hushtey ayns Cheer chreestee, raad ta’n sushtal cha kinjagh er ny phreacheil, & yn soilshey echeychoud [sic: echey choud] er hoilshean: agh dy beagh Briaght geir er ny yannoo, t’eh dy ve dootyt dy ve er ny gheddyn ro firrinagh liorish rour Sampleyryn trimshagh.","How many children are there often, twelve, and thirteen years, who scarcely know the God that made them? How many young persons, apprentices and servants, [iv] are there, (as well as children) who know but very little of the Saviour that redeemed them, and seem not so much as to have heard whether there be any Holy Ghost? Nay, how many grown people arc there, people in years too, who have lived all their days without knowing these first Principles of Religion! Perhaps it will hardly be believed, that there is so much ignorance in a Christian nation, where the Gospel is daily preached, and the light of it has shined so long. But if a strict and particular enquiry was made, I fear the Truth of what I say would appear in too many sad instances.",
"[vi]  Shen y fa te’h [sic: t’eh] ard-churrym dy chooilley Chreestee mie dy chur geill vie da cooish ta wheeish Lhie er, dy chur craueeaght er y hoshiaght, dy yannoo arrey harrish Anmeenyn ny Meehushtee as dy osley ny sooilyn oc dy vod ad fakin reddyn yindyssagh Leigh Yee—she Currym dagh Creestee firrinagh eh dy chur raue da Ayraghyn & Moiraghyn harrish lughtyn-thie son yn nieu-chiarail as yn Meeroose oc jeh ny Anmeeyn ocksyn ta foe nyn Gurrym, as dy choyrliagh ad dy ve ny ’skiaraalee son y traa ry-heet dy ynsagh nyn Gloan as nyn Moinjyr ayns toigal as tushley [sic: tushtey] dy Yee as nyn Gurrym huggey.","And surely it highly concerns us, who are the Ministers of Christ,[2] to look well to an affair of so much consequence to Religion, to watch over the souls of the ignorant, and to open their eyes, that [v] they may see the wondrous things of God's law. It is our duty to warn Parents and Masters of Families of their carelessness and negligence of the souls under their charge, and to admonish them to take a more diligent care for the future, to teach their children and servants the knowledge of God and their duty.",
"Agh shoh yn Assee mooar dy vel laane Ayraghyn & Moiraghyn marish Mainshteryn adhene Meehushtagh jeh ny reddyn ’sbaghtal ayns yn Ynsagh creestee, as eisht cha nee yindys erbee eh dy vel yn chloan as yn Voinjyr oc myrgeddin.","But here is the misfortune; many Parents and Masters are themselves ignorant of the most common things in the Christian Doctrine, and then no wonder that their children and servants are so too.",
"Cre whilleen ta cheet gys y Cheill dagh Doonaght, nagh vel son ooilley shen toiggal Bun laane ayrnyn jeh Padjyr y Chiarn, yn Chrea as ayrnyn elley ayns nyn Shirveish dagh Laa; chamoo t’ad toiggal ummodee [sic: ymmodee] raaghyn ta dy mennic ayns Shermaanyn, ta dy kinjagh Gynsaghey as dyn dy bragh abil cheet gys tushtey jeh’n irriney as ooilley shoh son laccal Ynsagh ayns traa nyn Aegyd.","How many are there who come to Church every Lord's Day, yet know not the meaning of several sentences in the Lord's Prayer, the Belief, and other parts of our daily service! neither do they understand many expressions that are commonly used in Preaching; who are ever hearing and never able to come to the knowledge of the truth; And [vi] all for want of proper instruction in the time of their youth.",
"Cha vod Buildal erbee y ve fegooish Undin as te cha ymmyrchagh dy beagh Sleih aegey dy mie gruntit ayns Ard-churmyn nyn Gredjue casherick, my ta shin dy bragh geearee ad dy ghoail toishiaght ny dy Vishagh liorish. —Ayns dy chooilley chierd as Oik ta traa mie er ny Varail as tooileil er ny ghoail ayns Gynsagh yn chooid cheddin, as nagh lhissagh kiarail wheesh as ny smoo y ve goit ayns ny reddyn ta bentyn rish Reeriaght Yee? Nagh lhissagh yn Chloan ain ve ynsit dy mie ayns toiggal ny Raaghyn as ny Goayn ta dy mennic ymmyd jeant jeu ayns yn Ynsagh creestee [vii] roish my vod ad cheet gys toiggal as tushtey cooie jeh, ny eh y chooilleeney.","There can be no building without a foundation: and it is necessary that young persons should be well grounded in the principles of our Most Holy Faith, if ever we desire they should make any progress or improvement in it. In all arts and sciences some considerable time and pains are spent in learning the terms, or first principles of them; and ought not the same and greater care to be taken in the things pertaining to the kingdom of God? ought not our children to be well instructed in the meaning of the terms and words that are generally used in the Christian Doctrine, before they can make any proficiency in the knowledge or practice of it?",
"—Cha moo ta lheid yn Ynsagh shoh ymmyrchagh da Cloan ny lomarcan, agh da ooilley ta trooid merioose [i.e. meerioose] nyn Ayraghyn, Moiraghyn as Oseiryn, as yn Assee jeh laccal Ynsagh, meehushtagh jeh ny ta ymmyrchagh daue dy chredjal as dy hoiggal cour saualtys.","Neither are instructions of this sort designed only for children, but for all, who, [vii] through the carelessness of their Parents and Governors, and the misfortune of a low education, are ignorant of what is necessary for them to believe and know, in order to their Salvation.",
