Manx,English,Page,Notes
" COYRLE SODJEH",A farther INSTRUCTION,10,
Son leid as ter ny risagh1 yn,For such as have learned the,10,
Credjue Creestee.," Church-Catechism.",10,
"Q. TA currym aym mee hene y yanoo arloo, dy ghol fo laue Aspick ; ta mee gearee’n cooney eavish dy vod fys ve aym cre ta mee gol mish as cre ta er ny hirrey orrym ?","Q. HAving Notice to prepare my self for Confirmation, I beg your Assistance, that I may know what I am going about, and what is expected from me ?",10,
"A. Nee’m shen dy harryltagh as my tow dy jarroo shirrey dt’annym y hauail, ynsym oo ayns aght cha ashagh dy ve toiggit nagh lias dhyt cherraghtyn son laccal tushtey.","A. I will gladly assist you ; and, if indeed you desire to save your Soul, I will instruct you after so plain a Manner, that you need not perish for want of Knowledge.",10,
"Q. Guee ym erriu eisht, insh jee dou cre’n fa ta mee er m’eamagh dy ghol fo laue Aspick ?","Q. I pray then let me know, why I am called to Confirmation ?",10,
"A. Dy vod fys ve ec yn Aglish dy vel oo dy Chreestee liorish dy reih hene, as cha nee ny lomarcan son dy rug oo ayns cheer Chreestee.","A. That the Church may be satisfied you are a Christian out of Choice, and not only because you was born in a Christian country.",10,
Q. Cre’n fa shegin fys ve ec yn Aglish er shoh ?,Q. Why must the Church be satisfied of this ?,10,
"A. Son dy vel yn Aglish sheshaght dy phersoonyn goal rish dy ve beaghey ayns aggle Yee, as jeaghyn son briwnyssyn Yee my ta veg jeh’n cheshaght cheddyn beaghey fegooish biallys y choyrt gys e Leihaghyn as adsyn gyn oghsyn y chur daue.","A. Because the Church is a Society of Persons professing to live in the Fear of God, and expecting God’s Judgments, if any of their Body do live in an open Defiance of his Laws, without Rebuke.",10,
"As shen-y-fa son shickerys share ta dagh Olt jeh’n cheshaght soilshagh magh dy vel ad kairit dy veaghey cordail rish Sushtal Chreest, yn leigh t’ad dy ve reilt liorish.","And therefore, for better Security, all its Members are openly to declare their full Purpose of Living as becometh the Gospel of Christ, which is the Law they are to be governed by.",10,
"[ 2 ] Q. Vel vondeish erbee sodjeh oddym jeaghyn er y hon, liorish gol fo laue Aspick ?","Q. Is there any farther Benefit that I may hope for, by going to be Confirmed ?",11,
"A. Ta veih’n tra shen foddee oo treshteil dy bishee Jee e ghrayse aynyd dy chooilley laa, my hirrys oo eh lesh dty chree. Son t’an [sic] Aspick, marish ta laue Yee ayns ooilley ny te dy yanoo ayns ennym Chreest goal padjer er dy hon as liorish e laue y chur ort te shickeragh dhyt dy vou foar as aigney mie Yee.","A. Yes ; you may expect, from that time, that God will daily increase his Graces in you, if you heartily desire them : For the Bishop, with whom is the hand of God in all that he doth in the name of Christ, prayeth for you ; and by laying his Hand upon you, doth certifie you of God’s Favour and good Will towards you.",11,
"As eisht, my ta fys ayd, dy vel y cliaghtey crauee shoh. Gol fo laue Aspick er jeet veih Ostylyn Yeesey Creest, bee resoon ayd dy hreshteil son ymmodee foas veih ; as dy ve meerioosagh jeh, raad oddys eh v’er ny gheddyn ta shen soi-agh beg jeh myghyn as foar Yee.","And then if you know that this solemn way of laying on of hands, was from the Apostles of Jesus Christ, you will have Reason to hope for much Good from it ; and to neglect it, where it may be had, is to despise God’s Mercy and Favours.",11,
"Q. Ballym eisht mee hene y yanoo arloo son gol fo laue Aspick, cha nee ny lomarcan son dy vel yn Aglish dy harey eh, agh son dy bee eh vondeishagh dou shoh y yanoo.","Q. I would therefore prepare my self for Confirmation, not only because the Church requires it, but because it will be my Advantage to do so.",11,
"A. Bee eh dy jarroo, son y Credjue Creestee tow gol dy ghoal ort yn yn1 red oddys oo y yanoo ashagh ayns shoh as sauchey ny yei shoh.","A. It will most certainly : for the Christian Profession, which you are going to take upon you, is the only Thing which can make you easie here, and safe hereafter.",11,
"Son te gynsagh dooin ga dy vel shin nyn Greturyn treith,2 peccoil as fegooish cooney, ga dy vel ain Noidjin ymmodee as niartal, ny yei liorish foar Yee ; foddee mad ve sauchey as bannit.","For it teacheth us, that tho’ we are miserable, sinful, Helpless Creatures, tho’ we have many and Powerful Enemies ; yet by the Favour of God, we may be Safe and Happy.",11,
"[3] Ta shin gynsagh liorish, dy vel Jee shirrey nyn maynrys, as dy vod e ny smoo y yanoo er nyn son ny oddys shin hene y hirrey ny smooinaghtyn.","For by it we learn, that God desireth our Welfare, and that he is able to do for us more than we can ask or think.",11,
"Te gynsagh dooin cre’n chirveish ta Jee dy hirrey orryn, cre’n aght oddys shin nyn shee y yanoo rish, tra ta shin liorish nyn beccaghyn er chur jummoose er ; Cre cha dangeragh as ta bea vee-rioosagh. As cre’n vaynrys ver Jee dave-syn ta gys y tushtey share oc dy hirveish e.","It teacheth us what Service God requires of us ; how we may make our Peace, when we have offended him by our Sins ; how Dangerous it is to lead a careless Life ; and how happy God will make all such as serve him to the best of their Knowledge.",11,
Q. Cre’n fa eisht nagh gou’ms orrym yn Credjue Creestee ?,Q. Why then should I not take upon my self the Christian Profession ?,12,
A. Ny yei gou coyrle Chreest mart. Smooinee dy dowin cre tow dy ghoal ort.,A. Only take with you the Advice of Christ. Consider seriously what you are going to undertake.,12,
"Vod oo kiarreil ayns dty chree dy hassoo noi miolaghyn y Drough-spyrryd yn seihl as yn eihl, son shirree ad shoh ooilley uss y hayrn veih Jee.","Whether you can purpose in your Heart, to resist the Temptations of the Devil, the World, and the Flesh, which will all endeavour to draw you from God.",12,
Jean oo goal ort dy chredjal goo Yee ta loart jeh seihl elley as jeh reddyn nagh vod oo akin lesh dty hooyllyn dooghyssagh.,"Whether you will resolve to believe the Word of God, which speaks of another World, and of Things which you cannot see with your bodily Eyes.",12,
"As jean oo chooish as oddys oo dy reall Annaghyn Yee, ayns treshteil jeh leagh ayns seihl elley nagh vel ry akin sy teihl shoh.","And whether you will do your best to keep the Commands of God, in hope of a future and unseen Reward.",12,
"Q. Dy jarroo tra ta mee cur tastey dy vel dy chooilley Chreestee er yialdyn shoh y yanoo as ny yei dy jark ta smooinaght er, cre shegin cheet ny lurg shoh cha nodym ve agh imneagh er aggle dy naasym cha meerioosagh as feallagh elley ?","Q. Indeed, when I consider that all Christians have promised to do this, and yet too few do ever think of what must come hereafter, I cannot but be afraid for my self, least I should grow as careless as many others ?",12,
A. Er yn oyr shoh tow nish er dt’eam dy akin gou dy sheelt as laue Jee y hirveish.,"A. It is for this Reason you are now called upon, to see whether you will take up a sober Resolution of serving God.",12,
"[4] As dy vod shoh greme y ghoal ort smooinee dy dowin, dy negin dooin ooilley shassoo kiongoyrt rish stole-briwnys Chreest, naght myr tow er chur shaghey yn Vea yare, mie ny saih, myr shen vees oo ayns maynrys ny trimshey son dy bra.","And to make you concerned in this Matter, consider seriously, That we must all appear before the judgment seat of Christ. That as you spend this short Life well or ill, you must be happy or miserable for ever.",12,
Q. Liasagh shoh cur er fer smooinaght er hene dy jarroo as shen-y-fa gueeym erriu toiggal y chur dou jeh’n stayd ta mee ayn ?,"Q. This should make one serious indeed ; and, therefore I do entreat you to give me a true account of my Condition ?",12,
A. Toig shoh eisht dy vel oo dy chreture arloo dy hutchim fo peccah as mee-gherjagh.,"A. Understand, then, that you are a Creature subject to sin and to misery.",13,
Dy lig Jee dhyt ve er dy vreh ayns y stayd shoh dy vaikagh oo cre cha treih as ta eshyn nee e Yee y hregeil.,"That God has permitted you to be born in this Condition, that you may see the sad Effects of forsaking him.",13,
"As son chooish as dy vel oo roa annoon dy chooney liat hene, dy vod oo dy bragh ve kainlt dy yeaghyn seose huggey son y cooney yiall e dhyt ayns dty chonnaant Bashtey.","And that finding you are unable to Help your self, you may ever be obliged to look up unto him for Help, which, at your Baptism, he hath Covenanted to give you.",13,
"Nish dy phroual oo, jean oo dy jarroo treshteil dy kinjagh ayns Jee, te er liggey da’n Drough-spyrrid oo y violagh, ta shen dy ghra, dy yanoo ny oddys e dy hayrn oo veih dty churrym.","Now to prove you, whether you will, indeed, live in a constant Dependance upon God, he hath permitted the Devil to tempt you, that is, to endeavour to draw you from your Duty.",13,
"Agh ec y tra cheddyn ta’n gialdyn firrinagh shoh ayd veih Jee dy bee’n Spyrryd mie echyssyn dy bragh mart, d’endeil as dy niartagh oo ; Er connaant dy shir oo huggey, dy der oo dty slane treshteil ayn as nagh der oo corree er lesh bea vee chrauee.","But, at the same time, you have this faithful Promise, that his good Spirit shall ever be with you, to defend and Strengthen you, provided you seek to him, put your whole Trust in him, and do not grieve him by a wicked Life.",13,
"Dy ghrennagh oo dy hirveish Jee, red erbee mie tow dy yanoo liorish y chooney echey, eeckee eshyn e dy graysoil myr dy beagh oo hene dy lomarcan er nianoo eh.","To encourage you to serve God, whatever good thing you do by his Assistance, he will graciously reward it as if it were done by your self only.",13,
"[5] Agh my hoy-ys oo beg jeh cooney Yee as treshteil gys dty cheal as niart hene nee oo tutchim ayns drough vea, treigee Spyrryd mie Yee oo, as bee oo eisht er dy reill liorish drough spyrrydyn as er dy yanoo feer treih.","But if you shall despise God’s Assistance, and, trusting to your own Reason and Strength, fall into a wicked Life, the good Spirit of God will forsake you, and you will then be governed by evil Spirits, and be made very miserable.",13,
"Q. Veih ny tow er ghra toiggym dy vel shin ayns y vea shoh ayns staid dyn browal shin as ayns dangere dy vod mad ve kainlt dy chummal faggys gys Jee as my chiarys mad shoh y yanoo, cha vel shin ayns gaue erbee ?","Q. From what you say, I understand that we are in this Life in a State of Trial and Danger, that we may be obliged to keep close to God, which, if we resolve to do, then we are in no Danger at all ?",13,
"[ 5 ] A. Spheer shen. As toig myrgeddyn dy vel shin liorish myghyn Chreest ayns stayd shickeree, ny va nyn ged ayraghyn ; V[’]adsyn dy jarroo er nyn groo ayns niau-loghtynys, agh ny yei huit ad gys peccah, ta shin kyndagh rish y peccah keddyn er nyn mreh ayns annoonid agh ta Jee ooilley niartal ayn, dy bragh arloo dyn gummal seose as my ta shin trooid nyn voill hene skirraghtyn ta fer eddyr shin as Jee, dy kinjagh arloo dy obbragh nyn shee.","A. Very true ; and observe also, that, by the Mercy of Christ, we are in a safer Condition than even our First Parents were ; they were, indeed, created upright, but they fell : we are, by reason of their Fall, born in Weakness, but have an Almighty God, ever ready to support us, and if we, thro’ our own Fault, do slip, we have a Mediatour with God, ever ready to make our Peace.",14,
Q. Bannit dy rou Jee dy vel nyn stayd cha mie. Fakin eisht dy nee shoh my chondition cre shegin dou y yanoo dy ve sauchey ?,"Q. Blessed be God, that it is so well with us. Since then this is my Condition, I pray, what must I do to be safe ?",14,
A : Hoshiaght shegin dhyt kiarrail dy hassoo noi dy chooilley violagh gys peccah. Nee shoh dy chiangley dy smaghtagh oo hene as dy Obbal yn Eihl.,"A. First, you must resolve to oppose all Temptations to sin, which will oblige you to Mortification and Selfdenial.",14,
"Shegin dhyt credjal as goal gys dty chree ny ta Jee er hoilshagh ayns e ghoo casherick, as er skyn ooilley gialdynyn as Baggyrtyn Sushtal Chreest.","You must believe, and lay to heart, what God hath made known in his holy Word, and especially the Promises and Threatnings of the Gospel of Christ.",14,
[6] Shegin dhyt goal as laue dy reall ny Annaghyn ta gynsagh dhyt dy churrym gys Jee as gys dty Naboo.,"You must resolve to keep the Commandments, which teach you your Duty to God, and to your Neighbour.",14,
As son nagh vod oo shoh y yanoo oo hene shegin dhyt liorish padjer kinjagh shirrey gys Jee son e chooney.,"And because you cannot do this of your self, you must purpose at all times to seek to God, by Prayer, for his Assistance.",14,
"As er jerrey ooilley fakin dy nee trooid eere Foar Yee te goal shin stiagh ayns Conaant, as dy vel e gialdyn dooin y Vea ta dy bragh farraghtyn shegin dhyt ny saysyn grasoil te hene er phonteil, ta shen Bashtey as Shibbar y Chiarn dy booisal y ghoal as y usal.","And lastly ; since it is meer Favour in God, that he receives us into his Covenant, and promiseth us eternal Life, you must thankfully receive, and use the Means of Grace which he hath appointed, namely, Baptism and the Lord’s Supper.",14,
"Shoh ard phointyn dty churrym, foddee oo nyn doiggal ad er beggan ynsagh, my hoi-ys oo dty chree orroo, as my nee oo padjer gys Jee son cooney.","These are the chief Heads of our Duty, which you may understand, be you never so unlearned, if you will set your Heart upon it, and pray to God for Help.",14,
Q. T’ad shoh ynsit aym hannah ayns y Credjue Creestee hie er ynsagh dou ?,Q. These have I already learned in the Catechism I have been taught ?,15,
"A. Ta ; As ayns shen ta ynsagh dy liooar ayd, my ta agh fys ayd cre’n aght nee oo ymmyd jeh ayns dt’ymmyrkey bea, as nee’ms cooney liat dy yanoo shoh lurg aght feer ashagh.","A. You have so ; and in that you have Learning sufficient, if you do butknow how to make use of it in the Course of your Life ; which I shall assist you to do after a very plain way.",15,
"Agh hoshiaght immee as tuit shees er dty ghlioonyn, as guee er Jee dy der e dhyt grayse as cree tushtagh ayns ny  goan shoh","But first, go and fall down upon your Knees, and beg of God to give you Grace, and an understanding Heart, in, the following Words,",15,
"Noo Jamys 1. 5. My ta veg ev laccal creenaght, lig e shirrey er Jee, as bee eh er ny chur da.","S. James 1. 5. If any of you lack Wisdom, let him ask of God, and it shall be given him.",15,
"O YEE Bun dy chooilley chreenaght O ta shin dy feer injil guee ort d’osley ny aignaghyn ain, dy vod mad cheet gys tushtey jeeds as jeh dty vi-ys ayns Yeesey Creest. Cur dooin cree sheelt, tushtagh as crauee ; myr ta shin gayse ayns eash dy vod mad gayse ayns grayse. Bannee dy chooilley sayse dy haualtys tow er choyrt dooin as er skyn ooilley yn choyrle shoh, dy vod eh tuitchim shees ayns nyn greeaghyn as gymmyrk magh aynyn Mess dy vea vie, gys onnor as molley dt’ennyms, trooid Yeesey Creest nyn Jiarn. Amen.","GOD, the Fountain of all Wisdom, we most humbly beseech thee to enlighten our Minds, that we may come to the Knowledge of thee, and of thy Goodness in Jesus Christ. Give us a serious an Understanding, and a Religious Heart, that as we grow in Years, we may grow in Grace. Bless all the Means of Salvation which thou hast afforded us, and especially this Instruction, that it may sink into our Hearts, and bring forth in us the Fruit of good Living, to the Honour and Praise of thy Name, through Jesus Christ our Lord. Amen.",15,
Quest. CRe’n ennym t’ort ?,Q. WHat is your Name ?,16,
" A. N. ny M."," A. N. or M.",16,
Q. Quoi hug yn ennym shen dhyt ?,Q. Who gave you that Name ?,16,
