Manx,English
Caghlaa obbyr aash.,Change of work is rest.
Boayl nagh vel aggle cha vel grayse.,"Where there’s no fear, there’s no grace."
Ta’n aghaue veg shuyr da’n aghaue vooar.,"The little hemlock is a sister to the big hemlock, as much as to say, “A small evil or sin is sister to a great one.”"
Gow ark jeh dty vuck hene,Take a farrow of thy own pig.
Cha row rieau cooid arrit mie. ,Offered goods were never good.
Ass shilley ass smooinaghtyn.,"Out of sight, out of mind."
Ny jean balk jeh thalloo mie.,Don’t make a baulk out of good earth. MW
S’banglaneagh yn phy’agh. ,Prolific is the person.
Quoi erbee s’beayn cha beayn y çhenndiaght. ,"Whoever is immortal, ’tis not the aged."
S’beayn dagh olk.,Lasting is each evil.
"Myr sloo yn çheshaght, smoo yn ayrn. ","The smaller the company, the bigger the share."
"Ta keeayll ommidjys, ny slooid ny t’ee ec dooinney creeney dy reayll. ","Wit is foolishness, unless a wise man has it to keep."
"Ta ynsagh coamrey stoamey yn dooinney berçhagh, as t’eh berçhys y dooinney boght. ","Learning is the stately clothing of the rich man, and the riches of the poor man."
Lesh y vioys shegin jannoo.,You must make do with the life you have. MW
"Boght, boght dy bragh. ","Poor, poor for ever."
S’booiagh yn voght er yn veggan. ,The poor are contented with little.
Ta fys ec dy chooilley ghooinney c’raad ta’n vraag gortagh eh. ,Every man knows where the shoe hurts him.
Eshyn nagh gow rish briw erbee t’eh deyrey eh hene. ,He who acknowledges no judge condemns himself.
"Easht lesh dagh cleaysh, eisht jean briwnys.","Listen with each ear, then make judgment"
Ta aile meeley jannoo bry millish.,A slow fire makes sweet malt.
Ta’n vry erskyn y churnaght.,The malt is above the wheat.
T’ad beaghey bwoailley er keyt as bwoilley er moddey. ,"They are living striking on a cat and striking on a dog, i.e. living a cat-and-dog life."
T’ou er y varney veayl. ,Thou art on the bald gap.
Cha vel eh laccal gerjagh ta goaill soylley jeh aigney booiagh. ,He lacks not comfort who enjoys a contented mind.
Ayns brishey jeh’n eayst ta mee er vakin moghrey grou cur lesh fastyr aalin. ,"In the breaking of the moon, I have seen a gloomy morning bringing a fine evening."
"Soddag chamm, bolg jeeragh. ","Crooked bannock, straight belly."
Ta fuill ny s’çhee na ushtey. ,Blood is thicker than water.
Bwoaill choud as ta’n yiarn çheh.,Strike while the iron is hot.
Brishys accyrys trooid boallaghyn cloaie.,Hunger will break through stone walls.
Cha boght as caraig.,As poor as a beetle.
Ta lane çhyndaaghyn ayns carr y phoosee.,There are many turns in the marriage tune.
Te feer aasagh cur fuill ass kione carragh.,It’s very simple to bring blood out of a scabby head.
Deeasee yn charthan e hoyn woish as cha dooar eh arragh eh.,"The sheep-louse lent its anus, and never got it back again. GWW"
Eshyn ta geddyn dooinney mie da e inneen t'eh cosney mac. Agh eh ta geddyn drogh-chleuin t'eh coayl inneen.,He who gets a good man for his daughter gains a son. but he who gets a bad son-in-law loses a daughter.
Cha jarg oo dty choayl y chreck.,You cannot sell your loss.
"Mannagh vow cliaghtey cliaghtey, nee cliaghtey coe. ","If custom be not indulged with custom, custom will weep."
"Commee obbyr, commee bee. ","Partner in work, partner in food."
Coontey ny heïn roish ta ny hoohyn guirt. ,Counting the chickens before the eggs are hatched.
Cha dooar rieau drogh veaynee corran mie.,A bad reaper never got a good sickle.
T’ad craa nyn moyrn er y ch[ei]lley. ,They are shaking their pride on each other.
Cre yiow jeh’n chayt agh y chrackan?,What will you get of the cat but the skin?
"Faggys ta my lheiney, agh ny sniessey ta my chrackan. ","Near is my shirt, but nearer is my skin."
"Share cragh ve sy çheer, na mee ny mannan çheet stiagh meein. ",Destruction in the country is better than the month of the kids (March) coming in fair.
"Eshyn yiow skeilley, yiow eh craid.",He who receives harm shall receive mockery (be mocked).
Ta craplag smoo ayns dty hoyn nish na va ro’ee. ,There is a bigger wrinkle in your breech than there was before.
Myr sniessey da’n chraue s’miljey yn eill.,"The nearer the bone, the sweeter the flesh."
Ta cree dooie ny share na kione croutagh. ,A kind heart is better than a crafty head.
"Meeyl chreen: Dy beagh ee er e bolg myr t’ee er e dreeym,","[Ringworm:] if it were on its belly as it is on its back, many a son of man would it do over the stile."
Shimmey mac dooinney yinnagh ee harrish y cheym. ,
Ta dooinney creeney mennick jannoo carrey jeh e noid. ,A wise man often makes a friend of his enemy.
Myr smoo siyr smoo cumrail.,"More haste, more hindrance. MW"
Ta airh er cushagyn ayns shen. ,There is gold on cushags there.
"Myr s’doo yn feeagh, yiow eh sheshey.","As black as the raven is, he’ll find a mate."
Hig daill gys eeck. ,Credit will come to payment.
Roshee daill y dorrys. ,Credit will reach the door.
Cha stamp rieau yn dow doo er e chass. ,The black ox never trod on his foot.
Moyll y droghad myr heu harrish. ,Praise the bridge as you go over it.
T’eh feer dunnal chredjys çhaghter balloo.,It’s a very brave man that believes a dumb messenger. MW
"Daa ghrogh eeck t’ayn: geeck rolaue, as dyn geeck edyr. ","There are two bad pays: paying beforehand, and not paying at all."
Cha vel fer erbee cha bouyr as eshyn nagh jean clashtyn. ,None is so deaf as he who will not hear.
"Un eam gys bee, as jees gys obbyr. ",One call to food and two to work.
Eddyr daa stoyl ta toyn er laare.,Betwixt two stools the breech is on the floor.
Ta bee eeit jarroodit. ,Eaten food is forgotten.
Ta’n yeean myr e ghooie my vel clooie er e chione.,The chick is like his kind before there are feathers on his head.
Geeck cabbyl marroo. ,Paying a dead horse.
Cha nee yn wooa smoo eieys smoo vlieaunys. ,It is not the cow that calls most that gives the most milk.
Cha n’eig yn choo ta caaee ny hoyn.,The greyhound is not sluggish which has seeds in its posterior. G.W. Wood
Cha dennee rieau yn soogh y shang.,The well-fed never felt like the ill-fed.
Cha jinnagh dooinney ta coyrt dy ve ry-akin dy bragh jeirk sy dorraghys.,A man who gives in order to be seen would never do alms on the dark.
"Ny three geayghyn s’feayrey dennee Fion Mc Cooil: geay henneu, as geay huill, as geay fo ny shiauill.","The three coldest winds that Finn McCooil felt: thaw wind, wind through holes, and wind under the sails."
Cur meer da’n feeagh as hig eh reeisht. ,Give a piece to the raven and he’ll come again.
Faaid mooar moaney son oie’l fingan. ,A big sod of turf for St Thomas’s eve.
Foddee yn moddey s’jerree tayrtyn y mwaagh. ,The last dog may catch the hare. MW
Siyn folmey smoo sheean nee. ,Empty vessels make the most sound.
Ta fooillagh naareydagh ny smelley na ee scammyltagh. ,Shameful leaving is worse than disgraceful eating.
"Cha bee breagerey credit, ga dy ninsh eh y n’irriney. ","A liar will not be believed, though he speak the truth."
"Surree eh yn flout, my yiow eh yn glout.",He’ll suffer the taunt if he gets the lump.
Tra ta’n gheay sy villey yiow shiu magh yn ghlass-ghuilley.,When the wind is in the tree you will get the lockman.
Freayl y craue glass.,Keeping the bone green.
Gien nonney gortey.,Either a feast or a famine.
S’giare y jough na yn skeeal.,Shorter is the drink than the story.
"Cha daink lesh y gheay, nagh ragh lesh yn ushtey.",Nothing came with the wind but what would go with the water.
"Eshyn nagh bee mie rish e gharran, shegin da’n phollan y chur lesh er e vuin.",He who will not be good to his pony must bring the saddle cloth on his back.
Gow coyrl bleb son keayrt.,Take a fool’s advice for once.
Gowee bleb rish e voylley as cha gow dooinney creeney rish e phlaiynt.,"A fool will acknowledge his praise, and a wise man will not [sic] acknowledge his complaint."
Cha jagh moylley ghooinney hene rieau foddey voish e ghorrys.,A man’s praise for himself never went far from his door.
"Cha jean un ghollan-geayee sourey, ny un chellagh keylley geurey.","One swallow will not make summer, nor one woodcock winter."
Ta greme ayns traa cooie sauail nuy.,A stitch in time saves nine.
"My ta’n ghrian jiarg tra girree <t>eh, foddee shiu jerkal rish fliaghey.","If the sun is red when it rises, you may expect rain."
Cha vel sonnys gonnys.,Store is no sore.
Haghyr eh ny share na hiollee eh.,It happened better than it might have been.
Oie-innyd bee dty volg lane;,On Shrove Tuesday (the eve of the fast) thy belly shall be full; before Easter day comes thou shalt fast for that.
My jig laa Caisht yiow traast son shen.,
"Nagh insh dou cre va mee, agh insh dou cre ta mee.","Do not tell me what I was, but tell me what I am."
"Eshyn lhieys marish moddee, irrys eh marish jarganyn.",He who lies with dogs will rise with fleas.
Lhig da’n innagh lhie er y chione s’jerree.,Let the woof lie at the last end.
Ta eayst Harn sy Vayrnt dy liooar ayns shiaght bleeaney.,A Saturday’s moon in March is enough for seven years.
Jean traagh choud as ta’n ghrian soilshean.,Make hay while the sun shines.
"Keeayl chionnit yn cheeayl share, mannagh vel ee kionnit ro gheyr.","Bought wit is the best wit, if it be not bought too dear."
"Kione mooar er y veggan cheilley, as kione beg gyn veg edyr. Towse cheilley rish.","A big head on the little (of wits), and a little head with none at all. Measure sense with it."
Ec kione nyn geiley.,At their wits end.
Cha boght as lugh killagh.,As poor as a church mouse
Clagh ny killagh ayns kione dty hie wooar.,"A stone of the church be in thy big house, i.e., the kitchen."
"Three kegeeshyn dy chegeeshyn slane,",Three fortnights of fortnights whole; these are from St. Thomas’ Day in Christmas to White St. Bridget’s Day.
Ta voish laa’l Thomys sy Nollick gys laa’l Breeshey bane.,
"My ta keim sy laair, bee keim sy [l]hiy.","If there is an amble in the mare, there will be an amble in the colt."
"Kiangle myr noid, as yiow myr carrey.","Bind as an enemy, and you will have as a friend."
Sheeu kishan dy yoan Mayrnt maaill bleeaney Vannin.,A peck of March dust is worth a year’s rent of Man.
Yn chiuney smoo erbee,"The greatest calm of all, the South wind nearest to it; i.e. The greater the calm the nearer the South wind."
 geay jiass sniessey j’ee.,
Tra hig y laa hig eh choyrle lesh.,When the day comes its counsel will come with it.
