Manx,English
"TRA ta’n dooinney mee-chrauee chyndaa ersooyl veih’n vee-chraueeaght t’eh er ny ve cur rish, as jannoo shen ta cairagh as jeeragh, sauee eh e annym bio. Ezek. xviii. 27.","WHEN the wicked man turneth away from his wickedness, that he hath committed, and doeth that which is lawful and right, he shall save his soul alive."
"Ta mee goaill rish m’ oiljyn, as ta my pheccah kinjagh kiongoyrt rhym. Psal. li. 3.","I acknowledge my transgressions, and my sin is ever before me."
"Follee dty eddin veih my pheccaghyn, as leih dou ooilley my vee-chraueeaght. Psal. li. 9.","Hide thy face from my sins, and blot out mine iniquities."
"Ta ourallyn Yee spyrryd seaghnit; cree brisht as arryssagh, O Yee, cha soie uss beg jeh. Psal. li. 17.","The sacrifices of God are a broken spirit : a broken and a contrite heart, O God, Thou wilt not despise."
"Raip-jee nyn greeaghyn, as cha nee nyn goamraghyn, as chyndaa-jee gys y Chiarn y Jee eu : son t’eh graysoil as myghinagh, moal gys corree, as dy chenjallys vooar, as meigh-chreeagh tra t’eh kerraghey. Joel ii. 13.","Rend your heart, and not your garments, and turn unto the Lord your God : for he is gracious and merciful, slow to anger, and of great kindness, and repenteth Him of the evil."
"Gys y Chiarn y Jee ain ta bentyn myghinyn as leih peccaghyn, ga dy vel shin er n’irree magh n’oi : cha-moo ta shin er choyrt biallys da coraa yn Chiarn y Jee ain, dy immeeaght ayns e leighaghyn t’eh er hoiaghey roïn. Dan. ix. 9, 10.","To the Lord our God belong mercies and forgivenesses, though we have rebelled against him : neither have we obeyed the voice of the Lord our God, to walk in his laws, which He set before us."
"O Hiarn, smaghtee mee, agh lesh foayr; cha nee ayns dty chorree, er aggle dy der oo lhiat mee gys veg. Jer. x. 24. Psal. vi. 1.","O Lord, correct me, but with judgement; not in thine anger, lest thou bring me to nothing."
Gow-jee arrys; son ta reeriaght niau er-gerrey. Mat. iii. 2.,Repent ye; for the Kingdom of heaven is at hand. 
"Trog-ym’s orrym, as hem roym gys m’ ayr, as jir-ym rish, Ayr, ta mee er n’yannoo peccah noi niau, as kiongoyrt rhyts, as cha vel mee ny sodjey feeu dy ve enmyssit dty vac. Luke xv. 18, 19.","I will arise and go to my father, and will say unto him; Father, I have sinned against heaven, and before thee, and am no more worthy to be called thy son."
"Ny gow er dty hoshiaght gys briwnys rish dty harvaant, O Hiarn; son ayns dty hilley’s cha bee dooinney erbee bio er ny heyrey. Psal. cxliii. 2.","Enter not into judgement with thy servant, O Lord; for in Thy sight shall no man living be justified."
"My ta shin gra dy vel shin gyn peccah, ta shin molley shin hene, as cha vel yn irriney ain. Agh my ta shin goaill-rish nyn beccaghyn, t’eshyn firrinagh as cairagh dy leih dooin nyn beccaghyn, as dy ghlenney shin veih dy chooilley neu-ynrickys. 1 John i. 8, 9.","If we say that we have no sin, we deceive ourselves, and the truth is not in us : But if we confess our sins, he is faithful and just to forgive us our sins, and to cleanse us from all unrighteousness."
,
"CHAARJYN ghraihagh, ta Goo Yee dy choyrlaghey shin ayns ymmodee ynnydyn dy hoilshaghey as dy ghoaill-rish nyn ymmodee filley peccaghyn as olkys, as nagh lhisagh shin ad y cheiltyn ny ’choodaghey kiongoyrt rish eddin Yee Ooilley-niartal nyn Ayr flaunyssagh, agh goaill roo lesh cree imlee, injil, arryssagh as ammyssagh, dy vod mayd leih y gheddyn er nyn son, liorish e vieys as e vyghin er-skyn-earroo. As ga dy lhisagh shin ec dy chooilley hraa dy-imlee goaill-rish nyn beccaghyn kiongoyrt rish Jee, foast lhisagh shin er-skyn ooilley shen y yannoo, tra ta shin chaglym as meeteil cooidjagh, dy choyrt booise son ny toyrtyssyn mooarey ta shin er gheddyn veih e laueyn, dy hoiaghey magh e voylley smoo feeu, dy eaishtagh rish e Ghoo smoo casherick, as dy yeearree ny reddyn shen ta fêmoil as ymmyrchagh, chammah son y chorp as yn annym. Shen-y-fa ta mee guee as geearree erriu, whilleen as t’ayns shoh kionfenish, dy yannoo sheshaght mâryms lesh cree glen, as coraa imlee, gys stoyl-reeoil yn ghrayse flaunyssagh, gra my yeih’s:","DEARLY beloved brethren, the Scripture moveth us in sundry places to acknowledge and confess our manifold sins and wickedness; and that we should not dissemble nor cloke them before the face of Almighty God our heavenly Father; but confess them with an humble, lowly, penitent, and obedient heart; to the end that we may obtain forgiveness of the same, by his infinite goodness and mercy. And although we ought at all times humbly to acknowledge our sins before God; yet ought we most chiefly so to do, when we assemble, and meet together, to render thanks for the great benefits that we have received at His hands, to set forth his most worthy praise, to hear his most holy Word, and to ask those things which are requisite and necessary, as well for the body as the soul. Wherefore I pray, and beseech you, as many as are here present, to accompany me with a pure heart, and humble voice, unto the throne of the heavenly grace, saying after me:"
,
"AYR Ooilley-niartal as smoo laane jeh dty vyghin; Ta shin er n’gholl er-shaghryn veih dty raaidyn casley rish kirree cailjey. Ta shin er eiyrt rouyr er smooinaghtyn as yeearreeyn ny creeaghyn ain hene. Ta shin er n’yannoo peccah noi dty leighaghyn casherick. Ta shin er n’aagail gyn jannoo ny reddyn shen lhisagh shin v’er n’yannoo; As ta shin er n’yannoo ny reddyn shen nagh lhisagh shin v’er n’yannoo; As cha vel slaynt erbee aynin. Agh uss, O Hiarn, jean myghin orrin peccee hreih. Ymmyrk uss lhieusyn, O Yee, ta goaill-rish nyn voiljyn. Gow uss adsyn reesht ta arryssagh; Cordail rish dty yialdinyn er ny hoilshaghey (sic) da sheelnaue ayns Creest Yeesey nyn Jiarn. As giall, O Ayr smoo laane jeh dty vyghin, er y ghraih echeysyn; Dy vod mayd ny yeih shoh beaghey dy-crauee, dy-cairal, as dy-sheelt, Gys gloyr dt’ Ennym’s casherick. Amen.","ALMIGHTY and most merciful Father; We have erred, and strayed from thy ways like lost sheep; We have followed too much the devices and desires of our own hearts; We have offended against thy holy laws: We have left undone those things, which we ought to have done; And we have done those things which we ought not to have done; And there is no health in us. But thou, O Lord, have mercy upon us, miserable offenders; Spare thou them, O God, which confess their faults: Restore thou them that are penitent; According to thy promises declared unto mankind in Christ Jesu our Lord. And grant, O most merciful Father, for his sake, That we may hereafter live a godly, righteous, and sober life, To the glory of thy holy Name. Amen."
,
"JEE Ooilley-niartal, Ayr nyn Jiarn Yeesey Creest, nagh vel shirrey baase peccagh, agh baare lesh eh dy hyndaa veih’n olkys echey, as ve bio; as ta er choyrt pooar as saarey da e Hirveishee dy hoilshaghey as d’ ockley magh da e phobble, ta arryssagh, pardoon as leih son nyn beccaghyn: T’eh pardooney as leih dauesyn ooilley ta dy-firrinagh goaill arrys, as dy-shickyr credjal e Hushtal casherick. Shen-y-fa lhig dooin guee ersyn dy choyrt dooin arrys firrinagh, as e Spyrryd Casherick, dy vod ny reddyn shen eshyn y wooiys ta shin jannoo ec y traa shoh, as dy vod y chooid elley jeh’n vea ain ny yeih shoh ve glen as crauee; myr shen ec y jerrey dy vod mayd cheet gys e voggey dy-bragh beayn, trooid YeeseAYR ain, t’ayns niau; Casherick dy row dt’ Ennym. Dy jig dty reeriaght. Dt’ aigney dy row jeant er y thalloo, myr te ayns niau. Cur dooin nyn arran jiu as gagh-laa. As leih dooin nyn loghtyn, myr ta shin leih dauesyn ta jannoo loghtyn nyn ’oi. As ny leeid shin ayns miolagh; Agh livrey shin veih olk: Son lhiats y reeriaght, as y phooar, as y ghloyr, son dy-bragh as dy-bragh. Amen.	OUR Father which art in heaven, Hallowed be thy Name; Thy kingdom come; Thy will be done in earth, as it is in heaven : Give us this day our daily bread; And forgive us our trespasses, as we forgive them that trespass against us; And lead us not into temptation, but deliver us from evil: For thine is the kingdom, the power, and the glory, for ever and ever. Amen.y Creest nyn Jiarn.","ALMIGHTY God, the Father of our Lord Jesus Christ, who desireth not the death of a sinner, but rather that he may turn from his wickedness, and live; and hath given power and commandment to his Ministers to declare and pronounce to his people, being penitent, the Absolution and Remission of their sins: He pardoneth, and absolveth all them that truly repent, and unfeignedly believe his holy Gospel. Wherefore let us beseech him to grant us true repentance, and his holy Spirit; that those things may please him which we do at this present, and that the rest of our life hereafter may be pure and holy, so that at the last we may come to his eternal joy, through Jesus Christ our Lord."
,
"O Hiarn, foshil uss nyn meillyn :","O Lord, open thou our lips;"
Ans. As nee ny beïll ain soilshaghey magh dty voylley.,And our mouth shall shew forth thy praise.
"Priest. O Yee, jean tappeeys dy hauail shin :","O God, make speed to save us :"
"Ans. O Hiarn, jean siyr dy chooney lhien.","O Lord, make haste to help us."
,
"Gloyr dy row gys yn Ayr, as gys y Mac (sic) : as gys y Spyrryd Noo;","Glory be to the Father, and to the Son : and to the Holy Ghost;"
"Ans. Myr ve ’sy toshiaght, ta nish, as vees dy-bragh : seihll gyn jerrey. Amen.","As it was in the beginning, is now, and ever shall be : world without end. Amen."
Priest. Moylley-jee yn Chiarn.,Praise ye the Lord.
Ans. Ennym y Chiarn dy row er ny voylley.,The Lord’s Name be praised.
,
"O TAR-jee, lhig dooin arrane y ghoaill gys y Chiarn : lhig dooin dy-creeoil boggey ’ghoaill ayns niart nyn saualtys.","O COME, let us sing unto the Lord : let us heartily rejoice in the strength of our salvation."
Lhig dooin cheet kiongoyrt rish yn enish echey lesh toyrt-booise : as soilshaghey shin hene gennal aynsyn lesh arraneyn-moyllee.,Let us come before his presence with thanksgiving : and show ourselves glad in him with psalms.
Son ta’n Chiarn ny Yee mooar : as ny Ree mooar er-skyn dy chooilley Yee.,For the Lord is a great God : and a great King above all gods.
Ayns y laue echeysyn ta ooilley corneilyn y thallooin : as niart ny croink she leshyn eh myrgeddin.,In his hand are all the corners of the earth : and the strength of the hills is his also.
"Yn faarkey she leshyn eh, as eh ren eh : as ny laueyn echeysyn ren aarloo yn thalloo chirrym.","The sea is his, and he made it : and his hands prepared the dry land."
"O tar-jee, lhig dooin ooashley y choyrt, as tuittym sheese : as gliooney kiongoyrt rish y Chiarn y Fer ren shin.","O come, let us worship, and fall down : and kneel before the Lord our Maker."
"Son eshyn y Chiarn y Jee ain : as shinyn pobble e phastyr, as kirree e laue.","For he is the Lord our God : and we are the people of his pasture, and the sheep of his hand."
