Manx,English
CAB. I.,Matthew Chapter 1
"1 Lioar Sheeloghe Yeesey Creest, Mac Ghavid, Mac Abraham. ","1 The book of the generation of Jesus Christ, the son of David, the son of Abraham."
"2 Hooar Abraham Isaac, as hooar Isaac Jacob, as hooar Jacob Judas as e vraaraghyn. ",2 Abraham begat Isaac; and Isaac begat Jacob; and Jacob begat Judas and his brethren;
"3 As hooar Judas Phares as Zarah rish Thamar, as hooar Phares Esrom, as hooar Esrom Aram. ",3 And Judas begat Phares and Zara of Thamar; and Phares begat Esrom; and Esrom begat Aram;
"4 As hooar Aram Aminadab, as hooar Aminadab Naasson, as hooar Naasson Salmon. ",4 And Aram begat Aminadab; and Aminadab begat Naasson; and Naasson begat Salmon;
"5 As hooar Salmon Booz rish Rachab, as hooar Booz Obed rish Ruth, as hooar Obed Jesse. ",5 And Salmon begat Booz of Rachab; and Booz begat Obed of Ruth; and Obed begat Jesse;
"6 As hooar Jesse David yn Ree, as hooar David yn Ree Solomon ree-ish v’er ny ve Ben Urias. ",6 And Jesse begat David the king; and David the king begat Solomon of her that had been the wife of Urias;
"7 As hooar Solomon Roboam, as hooar Roboam Abia, as hooar Abia Asa. ",7 And Solomon begat Roboam; and Roboam begat Abia; and Abia begat Asa;
"8 As hooar Asa Josaphat, as hooar Josaphat Joram, as hooar Joram Ozias. ",8 And Asa begat Josaphat; and Josaphat begat Joram; and Joram begat Ozias;
"9 As hooar Ozias Joatham, as hooar Joatham Achaz, as hooar Achaz Ezekias. ",9 And Ozias begat Joatham; and Joatham begat Achaz; and Achaz begat Ezekias;
"10 As hooar Ezekias Manasses, as hooar Manasses Amon, as hooar Amon Josias. ",10 And Ezekias begat Manasses; and Manasses begat Amon; and Amon begat Josias;
"11 As hooar Josias Jechonias as e vraaraghyn, my-geart y tra va’d goit ersooyl nyn gappeeyn gys Babylon. ","11 And Josias begat Jechonias and his brethren, about the time they were carried away to Babylon:"
,
,
"12 As ayns earish yn chappeeys ayns Babylon, hooar Jechonias Salathiel, as hooar Salathiel Zorobabel. ","12 And after they were brought to Babylon, Jechonias begat Salathiel; and Salathiel begat Zorobabel;"
"13 As hooar Zorobabel Abiud, as hooar Abiud Eliakim, as hooar Eliakim Azor. ",13 And Zorobabel begat Abiud; and Abiud begat Eliakim; and Eliakim begat Azor;
"14 As hooar Azor Sadoc, as hooar Sadoc Achim, as hooar Achim Eliud. ",14 And Azor begat Sadoc; and Sadoc begat Achim; and Achim begat Eliud;
"15 As hooar Eliud Eleazar, as hooar Eleazar Matthan, as hooar Matthan Jacob. ",15 And Eliud begat Eleazar; and Eleazar begat Matthan; and Matthan begat Jacob;
"16 As hooar Jacob Joseph dooinney-poost Moirrey, jee ruggyr Yeesey, ta enmyssit Creest. ","16 And Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ."
"17 Myr shen ta ooilley ny Sheeloghyn veih Abraham gys David, kiare Sheeloghyn jeig; as veih David derrey’n chappeeys ayns Babylon, kiare Sheeloghyn jeig; as veih’n chappeeys ayns Babylon derrey Creest, kiare Sheeloghyn jeig. ",17 So all the generations from Abraham to David are fourteen generations; and from David until the carrying away into Babylon are fourteen generations; and from the carrying away into Babylon unto Christ are fourteen generations.
