Manx,English
DYS YN READER.  [1],TO THE READER
,
"Ayns ard-chreenaght ren Oo ny seihill y chroo,   [2]","In supreme wisdom You created the worlds,"
"marish dagh obbyr t’ayndoo, smoo as sloo. ","together with every object in them, the greatest and the least."
"Jeh’n soiljey mooar hug uss da’n phadeyr share,    [3]","Of the great illumination you gave to the best prophet,"
goaill pen ayns laue dy chur dooin bun as baare ,taking pen in hand and giving us the full extent
jeh’n chroo breeoil ren y Goo ayds y yannoo,of the dynamic creation your Word made
"tra scarr oo’n ooir veih’n aer, yn town veih’n thalloo,  [4]","when you separated Earth from sky, the deep from land,"
"ta goull beg sollys skeayley magh er my chree,  ","there is a bright little beam spreading out over my heart,"
dy voddym’s gynsagh da ny Mannanee     [5],so that I may be able to instruct the Manx
"yindys mooar ta foast feer joarree daue,   [6] (–1)","of a great wonder that is still so foreign to them,"
as da ashoonyn ta jiu er dagh laue. ,and to nations that are all round today.
"Te cur dooin hoshiaght tushtey cair jeh Jee,     [7]","It gives us first a proper understanding of God,"
"n’egooish cha neeagh nyn dushtey nhee erbee, ","without which our human understanding would have no value, "
"gynsagh cre’n dooghys ta ny h-ainleyn jeh,   [8]","teaching of what nature the angels are,"
"cre’n mie as sie, as cre dagh Pooar er-lheh;     [9]","which good, which bad, and what each particular Power is;"
"kys haink Ard-ainle, va roïe crooit flaunyssagh,    [10] ","how an Archangel, that had been created heavenly,"
"dy ve ny Ghrogh Sp’ryd, eajee, iurinagh.  [11] ","came to be the Devil, abhorrent, infernal. "
"Abbyr cre’n ymmyd t’ayns ny seihill fo Niau,    [12]","Say what the purpose is of the worlds under Heaven,"
"cre’n-fa v’ad jeant, quoi hug nyn gummey daue.   [13]","why they were made, who gave them their form."
Insh veih cre’n fraue ren peccah hoshiaght gaase;,Tell from what root sin first grew;
kys hoill annane da sheelnaue ooilley baase;    [14],how one incurred death for all mankind;
"kys huitt nyn ayr, v’ayns lheid y foayr rish Jee    [15]","how our father fell, who had been in such favour with God"
"fo Ard-chiarail as shooyll ny flaunyssee,       [16]","under Providence and divine guidance,  [17]"
"dy chaill eh gaar Phargeiys; as dy daink Creest,   [18] ","so that he lost the garden of Paradise; and that Christ came,"
dy chionnagh eiraght s’berchee dauesyn reesht.,to buy a richer inheritance for them again.
"O Chreenaght, insh dooin —cha vel dhyt gyn-yss    [19]","O Wisdom, tell us, —nothing is hidden from you"
"nhee dy row rieau, dy bee, ny dy vel nish.      [20] [21]","that ever was, will be, or is now."
"Yn Ghailck ta goaun, yn tushtey ayms annoon,   [22]","The Manx is limited, my understanding weak,"
"my roshtyn giare, my vriewnys neesht ro choon. ","my grasp falls short, my judgement also is too narrow."
"Soilshee ’r my ghorghys, niartee lesh my ghlare,    [23]","Shine on my darkness, strengthen my language,"
"trog seose my smooinaght ard erskyn yn aer, ","raise up my thoughts high above the sky,"
"dy voddym loayrt jeh dt’ obbyr yindyssagh, ","that I may speak of your wonderful creation,"
ta erskyn earroo mie as eunyssagh. ,that is infinitely good and delightful.
O! cha vel eh lowit da dooinney bio     [24],Oh! It is not granted to a living man
dy chur slane freggyrt foast da’n question shoh. ,to give a full answer yet to this matter.
S’lioar da marvaanagh tushtagh ve ayns ayrn     [25],It is hard enough for a mortal to be knowledgeable in part
"jeh shen va, ta, as vees dy bragh er-mayrn.","of that which was, is, and will for ever endure."
"Agh ny s’gooidsave lesh hene v’er yeeaghyn dou,   [26]",But whatever it pleases himself to have shown me 
"jeh ’cheeayl gloyroil, —s’mie kiaddit lesh e laue!—   [27]",of his glorious plan —how well fashioned by his hand!—
"shen inshym’s diu, dy vod dy chooilley chree","that I shall relate to you, so that every heart "
ve agglagh roish yn ennym bannit Jee:     [28],may fear the holy name of God:
"yn Chiarn, yn Chiarn, Jee myghinagh,    (–2)","the Lord, the Lord, merciful God,"
"surranse-foddey, lane mieys firrinagh, ","long suffering, full of true goodness,"
"freayll myghin cour thousaneyn, lhiggey sheese    [29]","keeping mercy for thousands, but sending down [to the 3rd and 4th generation]"
"mooad kerragh toillit, son nyn mee-chraueeys,     [30]","a deal of punishment deserved, for their wickedness,"
"cooilleeney foiljyn ayrey er e chloan,       [31]","seeking retribution for the sins of the father from his children,"
gys ny sheelogheyn nagh vel foastagh ayn. ,down the generations not yet in existence.
"Jee, Spyryd Cash’rick, niartal ’skyn dagh pooar,   [32]","God, Holy Spirit, mighty above all power,"
"ayns mieys, creenaght, cairys, gillid, gloyr,","in goodness, wisdom, righteousness, brightness, glory,"
"Jee er-dy rieau, as bee erson dy bra, ","God since for ever, and who will be for ever,"
"toshiaght as jerrey, roish as lurg dagh traa:","first and last, before and after all times:"
"veih hene ta ’hoshiaght, as veih ta dagh nhee ","from himself is his beginning, and from him all things"
"goaill toshiaght, bishagh, bioys, aase, as bree.    [33]","take their beginning, increase, life, growth, and strength. "
"Dorghys as soilshey dasyn ta’n un chooid,    [34]","Darkness and light to him are the same thing,"
as cha vel veg nagh rosh e hushtey trooid. ,and there is nothing his intelligence will not penetrate.
"Jeh hene ta ’vaase, veih hene [ta] neesht e ghloyr.   [35]",From himself is his death; from himself also is his glory.
"Niartal t’eh hene, gyn jerrey ta e phooar;","Mighty is he himself, endless is his power;"
"t’eh Ooilley-niartal, ’naght myr dooyrt mee roïe,","he is Almighty, as I said before,"
eisht cha vel obbyr dasyn ta ro chreoi. ,thus there is no task that is too hard for him.
,
PARGEIYS CAILLIT [36],Lost Paradise
,
[I],[I]
,
MYCHIONE REERIAGHT NIAU [37],Concerning the Kingdom of Heaven
,
"Yn Chiarn Jee skeayl magh reeriaght wooar da hene, [38]","The Lord God spread out a great kingdom for himself,"
"liauyr fegooish kione, as fegooish cagliagh lhean. ","long without end, and broad without limit."
"Niau jer mayd r’ee; [ta] cheer dy vaynrys wooar,  [39]","Heaven we call her, which is a land of great joy,"
"lane jeh dagh mie, jeh berchys, ooashley ’s gloyr. ","full of every goodness, of riches, honour and glory."
"’Sy reeriaght shen ta’n eunys firrinagh, ","In that kingdom is true pleasure,"
"mieys ’skyn smooinaght, farraght son dy bragh.  [40]","goodness beyond imagination, everlasting. "
"Ayns shoh gyn laue ny saase, agh pooar e Ghoo,","Here without hand or implement, but [with] the power of his Word [41]"
"ard-valley aalin, niartal, ren eh ’chroo. ","he created a mighty, beautiful city. "
"Yn voalley ard ta jeant jeh claghyn deyr,    [42]","The high wall is made of precious stones,"
ny straidyn rea ta peamadit lesh airh.   [43],the level streets are paved with gold.
"Daa ghorrys jeig t’er, as ad shoh leeideil ","There are twelve doors, and these leading"
"gys whoilleen straid, ayns y chesh-vean meeiteil; [44]","to as many streets, meeting in the very centre;"
"ec plaase reeoil, y Jee mooar ard soilshean, ","at the royal palace, great God, high shining,"
cur sollys gennal ’s gerjagh gys dagh ayrn.,giving cheering light and comfort to every part.
Er grian ny soilshey dooghyssagh erbee ,Of sun or any natural light
"cha vel ayn feme; te gyn scadoo, gyn oie, ","there is no need there; it is without shadow, without night,"
"un laa gial rieau, nagh bee dy bragh ec kione.   [45]","one ever-shining day, that will never come to an end."
Gloyr Yee yn yillid as y soilshey t’ayn.,The glory of God is the brightness and the light there.
Jeh foays y valley verchagh shen dy loayrt   [46],"To tell of the worth of that splendid city,"
faillee my ghlare; cha voddym coontey ’choyrt ,my speech will fail; I cannot give an account
jeh’n vaynrys sloo: son ryddyn spyrrydoil   [47],of the least happiness: for spiritual things
ta ard ’skyn schlei as tushtey feill as fuill. ,are high above the skill and understanding of flesh and blood. 
"Agh myr ta soylit gys y veg y wooar,  ","But as the great is compared to the small,"
"gys y seihll shoh, soylym’s Reeriaght ny Gloyr,   [48]","I shall compare the Kingdom of Glory to this world,"
son cha vel nhee dy vaik mayd mie fo’n Ghrian   [49],for there is nothing good we see under the Sun
agh scaa ny ryddyn eunyssagh t’ayns shen.    ,that’s but a shadow of the wonders there.
Dy voddagh reeghyn ’s reilltee ard ny h-ooir ,If the kings and high rulers of the Earth could
"ve jeh un chree, lesh mooads nyn gooid as pooar,","be of one mind, with the magnitude of their goods and power,"
"nyn argid, airh, nyn goyrle dowin, as nyn geeayl,","their silver, gold, their deep counsel, and their sense, "
"dy hroggal balley mooar, son ooashley’n theihll, ","to build a great city, for the adulation of the world,"
"soit magh lesh berchys, as nyn giootyn share  [50]","set out with splendour, and their best gifts"
"cheet ass ny h-Indjin foddey, Heear as Har,     [51]","coming from the far Indies, West and East,"
cha beagh eh agh myr Babel ommijagh ,it would only be like foolish Babel
"gys y Jerusalem gial, flaunyssagh.",compared to the shining heavenly Jerusalem. 
"Shoh, shoh reeriaght as balley ard y Jee,    ö [52]  ","This, this is the kingdom and chief city of God,"
foast fegooish thooa as fegooish cummaltee   ý [53] ,still without a community and without residents
"dy viallys, ny dy ghoaill rish nyn ree.   ø ","to obey, or to acknowledge their king."
"Nish myr hee shiu reeriaghtyn mooar y theihll,  [54]","Now, as you see the great kingdoms of the world,"
"er graih aght mie, kionnoortys, doaie, as reill,  [55]","for the sake of good practice, governance, order, and rule,"
"dy creeney rheynnit fo reilltee smoo as sloo,    [56]","wisely divided under greater and lesser rulers,"
"—as y sloo sthill ayns biallys da’n smoo—, ","—and the lesser always in obedience to the greater—,"
"thooa, deiney seyrey, cringtyn, chiarnyn mooar,   [57]","people, gentlefolk, knights, great lords, "
"earlyn, dukeyn, rudjuryn ard ayns pooar,      [58]","earls, dukes, regents high in authority,"
"princeyn reeoil, counseilee firrinagh, ","royal princes, loyal councillors,"
foast gys un ree t’ad ooilley biallagh; ,yet to one king they are all obedient;
"myr shoh, jeh bree yn soilshey gial t’ayns gloyr","so, out of the essence of the bright light in glory,"
"chiaddee Jee sp’rydyn sollys, fo ayns pooar: ","God fashioned shining spirits, beneath him in authority:"
"ainlyn, ard-ainlyn niartal, cherubin,     [59] ","angels, mighty archangels, cherubim,"
"mienyn graihoil, chiarnyn, as zeraphin,   [60]","loving virtues, lordships and seraphim,"
reilltee shirveishagh fo nyn pooaraghyn.    [61],rulers serving under their [superior] powers.
"Myr va nyn stoo, myr shen t’ad farraghtyn","As was their substance, so do they endure"
er son dy bragh: yn dooghys oc ta glen ,for ever: their nature is pure
"veih’n vroïd wooar, ta cur er sleih gaase shenn,","from the great pollution that makes people grow old,"
"annoon as ching, dourinagh as baasoil,","weak and sick, afflicted and mortal, "
rere leoyds bree’n dooghys ass v’ad er nyn ghoaill.  [62],according to the decline of the natural energy they were made from.
Agh ta ny ainlyn jeant jeh lheid y vree ,But the angels are made of an essence
"niartal as glen, nagh vod ad cherraght choiee. [63]","powerful and pure, such that they can never perish."
"Baase as bea liauyr, ta cur dagh dooghys mow,   [64]","Death and old age, that destroys all nature,"
cha benn roo shoh; cha vod y stoo oc loau.,will not touch these; their substance cannot decay.
"Cha vel y voall cha chiu, ny’n chreg cha creoi  [65]","There is no wall so thick, nor rock so hard"
oddys ve cootagh ny scadoo nyn ’oï.   [66],that it can be a protection or shield against them.
"Jeeagh cre cha bieau, cha niartal, as cha jeean","Look how quick, how mighty, and how keen"
ta brishey trooid y ghless shliawin skell y ghrian! ,a ray of the sun breaks through the smooth glass!
Lesh yn aash cheddin oddys sp’rydyn roie,With the same ease spirits can pass 
"trooid prash ny yiarn, ny red dy vel ny s’creoi.   [67]","through brass or iron, or any thing that is harder."
"Earroo ny sp’rydyn sollys shoh va mooar,","The number of these shining spirits was great,"
"’skyn earroo sleih va, ny ta, er yn Ooir. ","above the number of people that were, or are, on the Earth."
Sheel nyn ayr Adam ooilley dy beagh bio     [68],All the seed of our father Adam that have lived [69]
gys jiu cha gormagh foast yn coontey shoh; ,up to today would not yet equal this reckoning;
"cooid ayns gloyr sloo, cooid ayns gloyr smoo soilshean, ","some in lesser glory, some in greater glory shining,"
"agh yn ainle sloo, lesh gloyr y Jee mooar lane.","but the least angel, full of the glory of the great God."
Myr ayns oie aalin ta shiu cur-my-ner [70],As on a fine night you behold 
"ny kainleyn sollys lossey ayns yn aer,  ","the brilliant lanterns blazing in the sky,"
"paart beg, paart mooar, cur soilshey er dagh laue, ","some small, some large, giving light all round,"
"rere towse y phooar ta Jee er yeeasaght daue, ","according to the measure of energy God has lent them,"
"foast ooilley sollys, lossey lieh myr lieh,     [71]","still all shining, burning individually,"
"choiee freayll nyn reill, yn dooghys t’ad jeant jeh;","eternally keeping their place, of the nature they consist of;"
myr shoh ny h-ainlyn flaunyssagh va jeant ,"thus the heavenly angels were made,"
as cha row oyr ec beg ny mooar dy phlaiynt. ,and neither small nor great had reason to complain.
"Cha n’inney Niau ve reeriaght eunyssagh,   [72]",No wonder that Heaven is a delightful kingdom
"as gys y seihll shoh soylit, yindyssagh;      [73]","and is, compared to this world, marvellous;"
"rheam lane dy vie, as mieys hene y ree,     [74]","a realm full of good, and goodness itself the king,"
"yn slane thooa graihagh, ooilley jeh’n un chree. ","all the community loving, all of one mind."
"Foays mie ny thooa va dy ve firrinagh,    [75]","The good quality of the community was to be faithful,"
