Manx,English
"Foddey voish sleih, ayns faasagh er cooyl-chlea, 
ren hermit reih son dy leeideil e vea; ","Far in a wild, unknown to public view,"
"eer veih e aegid shen ’raad hug eh seose 
gys v’eh shenn ghooinney onnoroil ayns eash; ",from youth to age a reverend hermit grew;
"she ooig dy imlee ghow eh son e hie, 
er lhiabbee cheynnagh dy surdremagh lhie; ","the moss his bed, the cave his humble cell,"
"messyn mygeayrt gansoor son beaghey da, 
as jeh’n farrane v’eh giu dy chuirr e phaa; ","his food the fruits, his drink the crystal well:"
"scart voish sheelnaue, agh beaghey marish Jee, ","remote from man, with God he passed the days,"
"va ’obbyr padjer, toyrt-booise va boggey ’chree. ","prayer all his business, all his pleasure praise."
"E vea va crauee, eunyssagh, gerjoil ","A life so sacred, such serene repose,"
"myr flaunys hene, derrey haink huggey miole ","seemed heaven itself, till one suggestion rose;"
"dy jinnagh olkys goaill yn raad lurg traa, 
as foays failleil, as biallys ’chur da. ","that vice should triumph, virtue vice obey,"
,
"Va ’annym criht lesh sorch dy vee-hreishteil 
jeh’n coadey mie ta harrish ooilley reill, ",this sprung some doubt of providence’s sway:
,
nagh row ’hreishteil gerjoilagh myr ve roie. ,"his hopes no more a certain prospect boast,"
"Va ’aigney boirit, currit slane ass doaie, ",and all the tenor of his soul is lost.
’naght myr ta poyll dy ushtey rea raad hee-oo ,So when a smooth expanse receives impressed
caslys jeh’n seihIl ta cummit er y chleeau; ,"calm nature’s image on its watery breast,"
"biljyn er brooinyn gaase sheese gour nyn maare, ","down bend the banks, the trees depending grow,"
heese foue dagh cuIlyr myr ta heose ’syn aer; ,and skies beneath with answering colours glow:
’syn ushtey feagh my hilgagh fer agh clagh ,"but if a stone the gentle sea divide,"
"veagh tonnyn beggey runt mygeayrt yn logh, ","swift ruffling circles curl on every side,"
soilshean yn Ghrian ayns skellyn sollys myn; ,"and glimmering fragments of a broken sun,"
"ta brooinyn, biljyn, aer, as ooilley bun-ry-skyn. ","banks, trees, and skies, in thick disorder run."
"Ghow eh son saase dy eiyrt yn dooyt ersooyl 
yn seihll y akin liorish shilley-sooill, ","To clear this doubt, to know the world by sight,"
"dy yeeaghyn row ny lioaryn v’eh er lhaih 
cur coontey kiart jeh raa as jannoo sleih; ","to find if books, or swains, report it right,"
"son derrey nish cha bione da’n seihll ny smoo 
na liorish boch’llyn v’eh er daggloo roo, ","(for yet by swains alone the world he knew,"
"’s scollagyn cheerey veagh nyn gassyn fluigh 
troailt gys e chummal, cheet roue ayns y druight. ","whose feet came wandering o’er the nightly dew,)"
"Faagail e chummal raad v’eh choud er cheau 
she lorg y troailtagh ren eh ’ghoaill ny laue 
dy ghoaill jurnaa myr oddagh eh ry-chosh, ","he quits his cell; the pilgrim-staff he bore,"
hug eh’n shlig-roagan ayns e edd cheu-wass; ,and fixed the scallop in his hat before;
"ec irree-ghreiney hie eh roish, kiarail ","then with the sun a rising journey went,"
scrial ny oddagh ynsagh da fordrail. ,"sedate to think, and watching each event."
"Va’n moghrey ceaut shooyl trooid yn aasagh feayn 
raad nagh row cassan r’ akin er yn foain; ","The morn was wasted in the pathless grass,"
"fegooish cumraag, boayl nagh row cummaltee, 
yn chaitnys feie fadane va liauyr as dree; ",and long and lonesome was the wild to pass;
"yn ghrian goll jiass, e vree yn seihll er hiow, ","but when the southern sun had warmed the day,"
haink scollag aeg er raad veih’n derrey heu; ,a youth came posting o’er a crossing way;
"va ’choamrey jesh, e eddin lane dy vlaa, ","his raiment decent, his complexion fair,"
as folt e ching ayns skeogyn runt chyndaa: ,and soft in graceful ringlets waved his hair.
"“Dy vannee dhyt, Ayr!” dooyrt eh lesh ard-choraa: ","Then near approaching, “Father, hail!” he cried;"
"“Dy vannee dhyt’s, my vac!” yn ayr ooasle gra; ","and “Hail, my son,” the reverend sire replied;"
"fockle hooar fockle, hie ad er pleateil, ","words followed words, from question answer flowed,"
"cooisheragh chion, yarrood ad nyn dooilleil. ",and talk of various kind deceived the road;
"Cho coardit v’ad neu-wooiagh dy phaartail, ","till each with other pleased, and loth to part,"
