English,Manx
"BCP Psalter, 1605",1765
The i. day.,THE FIRST DAY
Morning prayer.,MORNING PRAYER.
Beatus vir qui non abijt. Psal.1.,"Psal. 1. Beatus vir, qui non abiit."
"Blessed is the man that hath not walked in the counsaile of the ungodly, nor stand in the way of sinners : and hath not sit in the seat of the scornefull.","1 Bannit ta’n dooinney nagh vel er n’immeeaght ayns coyrle ny mee‐chrauee, ny er hassoo ayns raad peccee: as nagh vel er hoie ayns stoyl ny craidoilee;"
stand] 1636 stood; sit] 1636 sate,
2 But his delight is in the Law of the Lord : and in his Law will he exercise himselfe day and night.,2 Agh ta e haitnys ayns leigh yn Chiarn: as ayns y leigh echeysyn nee eh eh hene y chliaghtey laa as oie.
3 And hee shall bee like a tree planted by the water side : that wil bring foorth his fruit in due season.,3 As bee eh myr billey soit rish oirr yn ushtey: ver magh e vess ayns imbagh cooie.
"4 His leafe also shall not wither : and looke whatsoever he doeth, it shall prosper.","4 E ghuillag neesht cha jean fioghey: as jeeagh, cre‐erbee t’eh dy yannoo, te cheet lesh."
5 As for the ungodly it is not so with them : but they are like the chaffe which the wind scattereth away from the face of the earth.,"5 Er son ny mee-chrauee, cha vel eh myr shen mâroosyn: agh t’ad goll‐rish y choau ta’n gheay dy heebey veih eddin y thallooin."
6 Therefore the ungodly shall not be able to stand in the judgement : neither the sinners in the Congregation of the righteous.,6 Shen‐y‐fa cha vod ny mee‐chrauee shassoo ayns y vriwnys: cha-moo ny peccee ayns chaglym y sleih ynrick.
7 But the Lord knoweth the way of the righteous : and the way of the ungodly shall perish.,7 Son shione da’n Chiarn raad y sleih cairal: as nee raad ny mee‐chrauee cherraghtyn.
,
,
Quare fremuerunt gentes? Psal. 2.,Psal. 2. Quare fremuerunt gentes?
Why doe the heathen so furiously rage together : and why doe the people imagine a vaine thing?,1 Cre’n‐fa ta ny ashoonyn cha eulyssagh [sonnaasagh] girree-magh lesh-y-chielley: as cre hon ta’n sleih goaill red ommijagh ayns nyn gione.
,"[sonnaasagh] omitted in 1769, 1777; gione] 1765, 1769 ghione"
"2 The Kings of the earth stand up, and the rulers take counsaile together : against the Lorde, and against his Anoynted:","2 Ta reeaghyn y thallooin troggal seose, as ta ny fir‐reill goaill coyrle cooidjagh: noi’n Chiarn, as noi’n Fer‐ooilit echey."
3 Let us breake their bonds asunder : and cast away their cordes from us.,3 Lhig dooin brishey ny kainlaghyn oc veih my‐chielley: as y whing oc y cheau ersooyl j’in.
