English,Manx
"BCP Psalter, 1605","Phillips, 1610"
The i. day.,Yn i. la
Morning prayer.,Ayryn.
Beatus vir qui non abijt. Psal.1.,Beatus vir qui non abiit. psal. 1.
"Blessed is the man that hath not walked in the counsaile of the ungodly, nor stand in the way of sinners : and hath not sit in the seat of the scornefull.","1. Baniít ta yn dwyne nagh vell ern’ immiaght ayns kowrliy slyei niawghrawi, na shassw ayns rayd peki : as nagh vel er syei ayns ynyd syei ny knaidjoyl."
stand] 1636 stood; sit] 1636 sate,
2 But his delight is in the Law of the Lord : and in his Law will he exercise himselfe day and night.,2. Agh ta y viánsyn ayns lyei yn Chiarn : as ayns y lyêisyn ni eshẏn é héyn y ghlaghty la as yi.
3 And hee shall bee like a tree planted by the water side : that wil bring foorth his fruit in due season.,3. As bi eshin kasly rish bille seit liórish leatty yn wisky : ver magh y veǎs ayns tra dwi.
"4 His leafe also shall not wither : and looke whatsoever he doeth, it shall prosper.","4. Yn dulliag aggesyn niíst, gha jean e fióghy : as jeagh whartýyl[1] t’ é d’ ianw, gowi e bishagh."
5 As for the ungodly it is not so with them : but they are like the chaffe which the wind scattereth away from the face of the earth.,5. Ass erson yn niaw ghrawi ghá vell e marshen mariusyn : agh ta ayd kasly rish yn ghow[2] ta yn gýe dy skély er shiul vei ydyn yn talwin.
6 Therefore the ungodly shall not be able to stand in the judgement : neither the sinners in the Congregation of the righteous.,6. Shenefá ghá bí yn niaw ghrawi fowndagh dy hassw ayns y vrwinys : na ny peki áyns chýmsaghy yn slyei ynrick.
7 But the Lord knoweth the way of the righteous : and the way of the ungodly shall perish.,7. Agh saŵn d’ yn Chiarn ráyd yn klyei ynrick : as héyd ráyd yn niawghrawi mow.
,
,
Quare fremuerunt gentes? Psal. 2.,Quare fremuerunt. psal. 2.
Why doe the heathen so furiously rage together : and why doe the people imagine a vaine thing?,1. Kamma vell ny hangristín gho sownásagh góyl finw[3] kwjaght? as kamma vell yn pobyl smẃnaghy red fardálagh?
,
"2 The Kings of the earth stand up, and the rulers take counsaile together : against the Lorde, and against his Anoynted:","2. Ta riaghyn yn talẃin shassw shúas, as ny fy̌ir réeli góyl kowrly kwjaght : nýei yn Chiarn, as nyei y ’er ǎllit.[4]"
3 Let us breake their bonds asunder : and cast away their cordes from us.,3. Lig ’win nan ganglaghyn y vrishie vei magh elle : as y hilge er shiul nan dydyn[5] voiniyn.
4 He that dwelleth in heaven shall laugh them to scorne : the Lord shall have them in derision.,"4. Eshin ta vaghe ayns neaw, ni e geraghti ořw ŕỳ knáid : bi aydsyn ag y Chiarn ayns faghid."
5 Then shal he speake unto them in his wrath : and vexe them in his sore displeasure:,5. Eish ni eshin lóyrt riusyn ayns y ghorri : as aydsyn y hyaghyn ayns y iumẃiys trowm. 
6 Yet have I set my King : upon my holy hill of Sion.,6. Fóost ta mi er seiaghy my ríi : er my ghnock ghasserick Seion.
"7 I wil preach the Law whereof the Lord hath said unto me: thou art my Sonne, this day have I begotten thee.","7. Niyms yn ly̌ei y phrecháel ie ta yn Chiarn erna rá rẃỳms : she my vack us, ju ta mish er dy ieadthyn."
,ieadthyn] ms. jeadthyn
"8 Desire of mee, and I shall give thee the Heathen for thine inheritance, : and the uttermost parts of the earth for thy possession.","8. Shy̌ir orrwyms, as verym dwitt ny hanghristín ghon t’ eirys : as ny harnyn soje magh d’ yn talw ghon dthy ghwmmels."
uttermost] 1662 utmost,
9 Thou shalt bruise them with a rod of yron : and breake them in pieces like a potters vessell.,"9. Ni us aydsyn y vrẃ rish slatt iarn : as aydsyn y vrishie ayns stẃkanyn, mar saiagh ’er ny bott."
"10 Be wise now therefore, O yee Kings : be learned yee that are Judges of the earth.","10. Bigi kríney nish errefa shen, O shiusse riaghyn : bigi ynsiít, shiusse ta nan mrwinyn d’ yn tallw."
11 Serve the Lord in feare : and rejoyce unto him with reverence.,11. Shervésigi yn Chiarn ayns agyl : as bigi ganoil hwggesyn rish arym.
,Shervésigi] ms. Shervési
"12 Kisse the Sonne lest he be angry, and so ye perish from the right way : if his wrath be kindled (yea but a little) blessed are all they that put their trust in him.","12. Pagi yn mack nagh bi é korri, as marshen shiuss dy goll mow vei yn ráyd gháyr : ma viís y ghorri fadit (gy jarw agh began) baníit ta aydsyn wlly ta toyrt nan dreistéel aŷnsyn. "
,
,
,
Domine quid? Psal. 3.,Domine quid? psal. 3.
Lord how are they encreased that trouble mee : many are they that rise against me.,"1. Hiarn, kyns t’ áyd er mishaghy ta dy my hyaghyn : ta ymmydi aydsyn ta giri m’ yoi."
,
2 Many one there be that say of my soule : there is no helpe for him in his God.,2. Sh’ immy anáyn ta grá dy m’ anym : gha vell kwney erbi dâsyn ayns y Iíh.
