Manx,English
"Lioar Phadjeragh, 1777","Tate & Brady, 1754[1]"
PSALM 1.,Psalm 1.
Bannit ta’n dooinney shen ta chea,1  How blest is he who ne’er consents
Veih olk dy chooilley raad ;,       by ill Advice to walk;
"Nagh vel lurg coyrle mee-chrauee shooyl,","    Nor stands in Sinners Ways, nor sits"
Ny soie ayns stoyl ny craid.,       where Men profanely talk.
,
2 Agh mooarane taitnys t’eh dy ghoaill,2  But makes the perfect Law of God
Ayns ynrick leigh e Yee ;,       his Business and Delight;
"T’eh jannoo ’churrym jeh ’sy laa,","    Devoutly reads therein by Day,"
As smooinaght er ’syn oie.,       and meditates by Night.
,
"3 T’eh goll-rish billey soit rish awin,","3  Like some fair Tree, which fed by Streams"
Ta bishaghey as gaase ;,"       with timely Fruit does bend,"
"Skeayley ’vanglaneyn trome lesh mess,","    He still shall flourish, and Success"
E ghuilley kinjagh glass.,       all his Designs attend.
,
4 Agh vouesyn ta mee-arryssagh,4  Ungodly Men and their Attempts
Ta’n vaynrys vooar shoh freilt ;,       no lasting Root shall find;
"T’ad goll-rish coau sheebit lesh geay,","    Untimely blasted, and dispers’d"
Er feï-ny-cruinney skeaylt.,       like Chaff before the Wind.
,
5 Ayns briwnys kiart ta faagit mooie,5  Their Guilt shall strike the Wicked dumb
Ny kimmee kyndagh treih ;,       before the Judge’s Face;
"T’ad eeb’rit magh veih nooghyn Yee,",    No formal Hypocrite shall then
As sheshaght crauee sleih.,       amongst the Saints have Place.
,
6 Son Jee ta moylley raad e Noo,"6  For God approves the just Man's Ways,"
As leagh mooar ver eh da ;,       to Happiness they tend;
Agh eh ta geiyrt da raaidyn camm,"    But Sinners, and the paths they tread,"
Ta cherraghtyn dy bra.,       shall both in ruin end.
,
PSALM IV.,Psalm 4.
"O Yee, my vriw, m’ er chosnee cair,"," 1  O Lord, that art my righteous Judge,"
"Jean myghin orrym, Hiarn,",       to my Complaint give Ear.
"Veih seaghyn hug oo dou livrey,",    Thou still redeem'st me from Distress:
As ta mee foast er-mayrn.,"       Have Mercy, Lord, and hear."
,
2 Varvaanee hreih! O caid nee shiu,"2  How long will ye, O Sons of Men,"
Mysh m’ ennym ooasle craid ?,       to blot my Fame devise?
"Caid eiyrys shiu da eer fardail,","    How long your vain Designs pursue,"
"Da scammyltyn, O caid?",       and spread malicious Lyes?
,
3 Toig-jee dy vel yn dooinney mie,"3  Consider, that the righteous Man"
Goit stiagh myr reih ec Jee ;,       is God’s peculiar Choice;
T’eh geaishtagh rish my phadjeryn,"    And when to him I make my Pray'r,"
Tra ta mee huggey guee.,       he always hears my Voice.
,
4 Lesh aggle crauee jean-jee chea," 4  Then stand in Awe of his Commands,"
Veih eiyrtys peccah trome ;,       flee ev’ry thing that’s ill;
"Smooinaghtyn mie gow shiu nyn gree,","    Commune in private with your Hearts,"
Gys Jee dy injil croym.,       and bend them to his Will.
,
5 Yn oural cooie dy ynrickys,5  The Place of other Sacrifice
Jean-jee y hebbal da ;,       let Righteousness supply;
"Ayns jeerid jeeagh-jee gys y Chiarn,","    And let your Hope, securely fix’d,"
As treisht-jee ayn dy bra.,       on God alone rely.
,
6 Mooaralee er cooid heihltagh soit,6  While worldly Minds impatient grow
Ta kinjagh geearree pooar ;,"       more prosp’rous Times to see,"
"Agh lhig da aalid dt’ eddin, Yee,",    Still let the Glories of thy Face
Orryms soilshean ayns gloyr.,"       shine brightly, Lord, on me."
,
7 My chree myr shen feer ghennal vees," 7  So shall my Heart o’erflow with Joy,"
Roie harrish lane dy vree ;,"       more lasting, and more true,"
"Son cha nee feeyn ny arroo lesh,",    Than theirs who Stores of Corn and Wine
Ver kuïnid cair ’sy chree.,       successively renew.
,
"8 Eisht lhie-ym sheese as hem gys fea,","8  Then down in Peace I’ll lay my Head,"
Lesh aigney lane dy hee;,  and take my needful Rest;
"Son uss, O Hiarn, ta my endeil,","    No other Guard, O Lord, I crave,"
Ta coyrt dou fea ny hoie.,       of thy Defence possess’d.
,
PSALM VIII.,Psalm 8.
"O Hiarn, oo hene nyn ard chiannoort,","1  O Thou, to whom all Creatures bow"
Dagh nhee ta fo dty reill ;,"       within this earthly Frame,"
"Erskyn ny Niaughyn ta dty ghloyr,",    Thro’ all the World how great art Thou!
Ta dt’ ennym trooid y theihll.,       how glorious is thy Name!
,
"3 Obbyr dty laue tra hee’m ’syn aer,","3  When Heav’n, thy beauteous Work on high,"
Ta staaynit lesh dty phooar ;,       employs my wond’ring Sight;
"Yn ghrian, yn eayst, rollageyn neesht","    The Moon, that nightly rules the Sky,"
Scart trooid yn ’eaynagh vooar.,       with Stars of feebler Light.
,
"4 Hiarn, cre ta dooinney, smooinee mee,"," 4  What’s Man, say I, that, Lord, thou lov’st"
Dy ghoaill eh ayns e ghooie ?,       to keep him in thy mind?
"Ny cre ta ’lhuight ’sy chilley ayds,","    Or what his Offspring, that thou prov’st"
Dy beagh oo daue cha dooie ?,       to them so wondrous kind?
,
"5 Eh, sniessey da dty ainleyn noo", 5  Him next in Pow’r thou didst create
"Ayns gloyr, ren oo pointeil ;",       to thy celestial Train;
"6 Coamrit lesh pooar, myr Chiarn y seihll,", 6  Ordain’d with Dignity and State
Er dt’ obbraghyn dy reill.,       o’er all thy Works to reign.
,
"7 Dagh dooghys ren oo bial da,", 7  They jointly own his pow’rful Sway;
Myr daag oo orroo beoyn; 1769 baan,       the Beasts that prey or graze;
"8 Eeanlee ta bennalt trooid yn aer,", 8  The Bird that wings its airy Way;
As eeaystyn snaue ’sy cheayn.,       the Fish that cuts the Seas.     
,
"9 O Hiarn, oo hene nyn ard chiannoort,"," 9  O Thou, to whom all Creatures bow"
Dagh nhee ta fo dty reill ;,"       within this earthly Frame,"
"Erskyn ny niaughyn ta dty ghloyr,",    Thro’ all the world how great art Thou!
Ta dt’ ennym trooid y theihll.,       how glorious is thy Name!
,
PSALM XV.,Psalm 15.
"Quoi gys dty phlaase reeoil, O Hiarn,","   1  Lord, who’s the happy Man that may"
Myr reih nee goaill jurnaa ;,         to thy blest Courts repair?
"Cha nee myr joarree goaill aaght oie,","      Not Stranger-like, to visit them,"
Agh ayn dy reayll dy bra.,         but to inhabit there?
,
2 She eshyn eh ta leeideil bea,"2  ’Tis he, whose ev’ry Thought and Deed"
Cordail rish leighyn Yee ;,         by Rules of Virtue moves;
"E smooinaght, obbyr as e raa,",      Whose gen’rous Tongue disdains to speak
Reilt liorish foays e chree.,         the thing his Heart disproves.
,
