English,Manx
,
a short,AGHT GHIARE
INTRODUCTION,
To the True Understanding of the,Dy heet gys Toiggal firrinagh jeh
LORD’s SUPPER;,SHIBBER Y CHIARN;
with,marish
"Preparatory Devotions,",Padjeryn dy gheddyn aarloo ny chour
Intended for the Use and Benefit of,Kiarit son Ymmyd as Vondeish
Young Communicants.,Creesteenyn Aegey.
,
,
SECTION 1.,CAB. I
,
"THERE are two Holy Ordinances or Sacraments appointed by Jesus Christ as most especial Means of obtaining Grace and Salvation: Which no Christian, Who hopes to be saved must wilfully neglect.—These are Baptism, and the Lord’s Supper.","TA daa Oardaghey Casherick ny daa Sacrament curmit orrin liorish Yeesey Creest myr ny ard Saaseyn dy chosney Grayse as Saualtys: Ad shoh cha nhegin da Creestee erbee, ta jerkal rish Saualtys, dy meerioosagh lhiggey shaghey. T’ad shoh Bashtey as Shibber y Chiarn."
,
"It must be supposed, that you have already been made Partaker of one of these two Sacraments, viz. That of Baptism, by which you [2] were admitted into the Congregation of Christ’s Flock,—were restored to the Favour of God,—and had the Holy Spirit communicated to you, for a Principle of a new and spiritual Life; in order to awaken you, and to direct and assist that natural Reason, with which God has endued all Mankind.","Shegin goaill ass laue dy vel unnane jeh’n daa Sacrament shoh hannah shirveishit ort,—ta shen dy ghra, Yn Sacrament dy Vashtey, liorish v’ou er [2] dty ghoaill stiagh ayns Sheshaght Shioltane Chreest,—troggit reesht gys Foayr Yee,—as Bree yn Spyrryd Noo er ny choyrt dhyt son Undin as Toshiaght dy Vea noa as spyrrydoil; dy ghreinnaghey oo, as dy leeideil as dy niartaghey yn Resoon dooghyssagh shen, lesh ta Jee er choamrey ooilley Sheelnaue."
