Manx,English
Skeeal yn Eean Thunnag Graney,The Tale of the Ugly Duckling.
(cadjinit),(translation of Ned Beg’s version)
"V’eh fastyr feer aalin ayns imbagh yn ouyr ayns yn çheer as va’n arroo chreen as yn traagh fiojit seose ayns dossanyn ayns ny lheeantyn jeeaghyn feer stoamey. Va’n choar vane shooyl mygeayrt lesh e lurgaghyn liauyr jiarg, taggloo ayns glare ny hEgyptianee, v’ee er n’ynsaghey voish e Moir. ","It was a beautiful afternoon in the season of the harvest in the countryside, and the cornfields were ripe, and the withered hay, up in bunches in the meadows, were looking very grand. The stork was parading about with his long red legs, chattering away in the Egyptian, that she had learned from her mother."
     Va ny maghryn as lheeantyn combaasit lesh keyll mooar as ayns y vean va loghan mooar dy ushtey. ,"The fields and meadows were encompassed by a large forest, and in the middle of the forest was a deep lake of water."
Ayns boayl grainagh va shenn thie erinagh ny hassoo er gerrey da’n awin. Voish yn thie sheesh gys yn ushtey va dulliagyn mooarey geayney gaase cha ard as dy vod dagh lhiannoo beg shassoo jeeraght fo’n scaadoo oc.    ,"     In a sunny spot stood a old farmhouse circled near to the river. From the house down to the water there were great vivid green leaves, so high that a little child might stand upright under their shade. "
     Va’n boayl cha fadane as çhesh-vean yn cheyll. ,The spot was as isolated as the very centre of the forest.
"     Ayns yn ynnyd shen va thunnag ny hoie guirr, freayl arrey gys yinnagh ny hêin aegey çheet ass ny hoohyn. V’ee goaill toshiaght dy aase skee son va’n feallagh veggey tra liauyr çheet ass ny hoohyn. ","     In that place a duck was sat brooding, watching out until her young chicks would hatch out of the eggs. She was starting to grow tired because the little ones were so long coming out of their shells. "
"     Ec y jerrey ren unnane jeh ny hoohyn brishey. as eisht unnane elley, as magh ass dagh ooh haink cretoor beg bio ren troggal seose e chione as gra “Peep. peep.”","     At last, one of the shells cracked, and soon another, and from each egg came a little living creature that lifted up its head and said “Peep, peep.”"
"     “Quank, quank!” dooyrt yn voir, as eisht ren ad ooilley quankal chammah as foddagh ad as jeeaghyn mygeayrt er dy chooilley heu er ny duillagyn mooarey geayney. Ren yn voir lowal daue dy yeeaghyn wheesh as bailleu er yn oyr dy row geayney mie son ny sooillyn. ","     “Quack, quack!” said the mother; and then they all quaked as well as well as they could, while they looked around on every side at the big green leaves. Their mother allowed them to look as much as they liked, because green was good for the eyes."
"     “S’mooar ta’n seihll,” dooyrt ny thunnagyn aegey,  tra hooar ad magh cre woad smoo dy reamys v’ayn ny v’ayns ny hoohyn tra v’ad çheu sthie jeu.","“What a great world it is,” said the young ducks, when they found how much more room there was than there was in the eggshells when they were inside them. "
