Manx,English
PSALM 6,PSALM 6
"Ayns corree, Hiarn, ny kerree mee,","1 Thy dreadful Anger, Lord, restrain,"
Boght eiyrit magh er lheh;,and spare a Wretch forlorn:
"Ny smaghtee mee ayns mooads jymmoose,","Correct me not in thy fierce Wrath,"
Ro hrome dy ymmyrkey.,too heavy to be borne.
"Jeeagh myghin, Hiarn, ta mee annoon,","2 Have Mercy, Lord; for I grow faint,"
As faiyntagh ec my chree;,unable to endure
"My chraueyn neesht ta guint lesh pian,","The Anguish of my aching Bones,"
Ass chymmey lhiasee mee.,which thou alone canst cure.
"Ta m’ annym neesht mooar seaghynit,","3 My tortur’d Flesh distracts my Mind,"
"Hiarn, caid vees eh myr shen;",and fills my Soul with Grief:
"Chyndaa, O Hiarn, jean m’y livrey,","But, Lord, how long wilt thou delay"
As aash mee veih my phian.,to grant me thy Relief?
"Lurg baase cha bee imraa jeant jeed,",5 For after Death no more can I
Ny fockle er ny loayrt;,thy glorious Acts proclaim;
"As ayns yn oaie, quol nee ayns shen,",No Pris’ner of the silent Grave
Da dt’ ennym moylley ’choyrt?,can magnify thy Name.
"Deinagh lesh gaccan ta mee ceaut,","6 Quite tir’d with Pain, with Groaning faint,"
Aash cha vel ec my chree;,no hope of Ease I see;
"’Sy laa my vink, ta fliugh lesh jeir,","The Night, that quiets common Griefs,"
My chioneiyrt[1] ayns yn oie.,is spent in Tears by me.
"Lesh trimshey ta my hooillyn lheit,","7 My Beauty fades, my Sight grows dim,"
My hilley t’er n’aase moal;,my Eyes with Weakness close;
"Lesh eiyrtys noidyn, er n’aase shen,","Old Age o’ertakes me, whilst I think"
My niart ta mee er choayl.,on my insulting Foes.
"Nagh trome diu! ta cur dou aggair,","8 Depart, ye Wicked; in my Wrongs"
Ta’n Chiarn er chlashtyn mee:,ye shall no more rejoice;
"Gys m’ accan t’eh er chroymmey ’chleaysh,","for God, I find, accepts my Tears,"
T’er n’eaishtagh rish my ghuee.,and listens to my Voice.
"Lhig da my noidyn naarit ve,","9, 10 He hears, and grants my humble Pray’r,"
As seagyhnit dy creoie;,"and they that wish my Fall,"
