Manx,English
CREENAGHT SOLOMON,WISDOM OF SOLOMON
Cab. I ,
"1 Eiyr-jee da’n ynrickys, shiuish vriwnyn ny hooirey: smooinee-jee er y Chiarn lesh cree mie as ayns ynrickys cree shir-jee huggey. ","1 Love righteousness, ye that be judges of the earth: think of the Lord with a good (heart,) and in simplicity of heart seek him."
2 Son bee eh er ny gheddyn lioroosyn nagh vel dy vrasnaghey eh: as t’eh soilshaghey eh hene dauesyn nagh vel jannoo mee-hreishteil er. ,2 For he will be found of them that tempt him not; and sheweth himself unto such as do not distrust him.
"3 Son ta smooinaghtyn camlaagagh scarrey shin veih Jee: as ta e phooar, tra te er ny vrasnaghey, smaghtaghey ny mee-cheeayllee. ","3 For froward thoughts separate from God: and his power, when it is tried, reproveth the unwise."
4 Son ayns annym goanlyssagh cha jean creenaght tannaghtyn; ny cummal ayns y challin ta fo ream peccah. ,4 For into a malicious soul wisdom shall not enter; nor dwell in the body that is subject unto sin.
"5 Son nee yn spyrryd casherick dy ynsaghey chea veih molteyrys, as scughey veih smooinaghtyn neu-hushtagh, as cha nuirree eh raad ta neu-ynrickys cheet stiagh. ","5 For the holy spirit of discipline will flee deceit, and remove from thoughts that are without understanding, and will not abide when unrighteousness cometh in."
"6 Son ta creenaght ny spyrryd graihagh: as cha jean eh seyrey yn mollaghtagh ayns e ghoan; son ta Jee feanish cheu-sthie jeh, as dy baghtal cur-my-ner e chree, as clashtyn e ghoan. ","6 For wisdom is a loving spirit; and will not acquit a blasphemer of his words: for God is witness of his reins, and a true beholder of his heart, and a hearer of his tongue."
"7 Son ta spyrryd y Chiarn lhieeney yn seihll: as t’eshyn, ta cummal seose dagh nhee, toiggal e choraa. ",7 For the Spirit of the Lord filleth the world: and that which containeth all things hath knowledge of the voice.
"8 Shen-y-fa cha vod eshyn ve keillit ta loayrt goan mee-chrauee; chamoo nee chooilleeney, tra t’ee kerraghey, shaghney eh. ","8 Therefore he that speaketh unrighteous things cannot be hid: neither shall vengeance, when it punisheth, pass by him."
"9 Son bee briaght jeant ayns coyrleyn yn er mee-chrauee; as nee coraa e ghoan roshtyn gys y Chiarn, dy hoilshaghey e obbraghyn peccoil. ",9 For inquisition shall be made into the counsels of the ungodly: and the sound of his words shall come unto the Lord for the manifestation of his wicked deeds.
"10 Son ta’n chleaysh eadolagh clashtyn dy chooilley nhee, chamoo ta’n accan trughanagh er ny cheiltyn. ",10 For the ear of jealousy heareth all things: and the noise of murmurings is not hid.
"11 Shen-y-fa faag-jee veue tallagh gyn-foaynoo as smaght-jee nyn jengey veih cooyl-chassid: son cha vel fockle erbee cha follit shen, nagh bee er ny vriwnys; as ta’n beeal breagagh stroie yn annym. ","11 Therefore beware of murmuring, which is unprofitable; and refrain your tongue from backbiting: for there is no word so secret, that shall go for nought: and the mouth that belieth slayeth the soul."
12 Ny shir-jee baase liorish shaghrynys nyn mea: as ny tayrn-jee erriu hene toyrt-mow lesh obbyr nyn laueyn. ,12 Seek not death in the error of your life: and pull not upon yourselves destruction with the works of your hands.
